,id,player_name,position,games,season,team,goals,shots,xG,assists,xA,key_passes,yellow,red,npg,npxG,xGChain,xGBuildup
0,1250,Mohamed Salah,FWR,20,2021,Liverpool,16,80,15.608175069093704,9,6.22314802929759,40,1,0,14,13.324668571352959,22.21259716153145,7.717494197189808
1,1250,Mohamed Salah,FWR,37,2020,Liverpool,22,126,20.250846637412906,5,6.528526101261377,55,0,0,16,15.683833638206124,28.968233548104763,9.800235655158758
2,1250,Mohamed Salah,FWR,34,2019,Liverpool,19,132,20.66331870108843,10,8.72604252398014,60,1,0,16,18.379812128841877,31.37419793009758,8.42502685263753
3,1250,Mohamed Salah,FWR,38,2018,Liverpool,22,137,21.79245018400252,8,10.468589510768652,68,1,0,19,19.508943611755967,31.780298396945,7.865945274010301
4,1250,Mohamed Salah,FWR,36,2017,Liverpool,32,143,25.136502970010042,10,8.344477602280676,62,1,0,31,23.6141653098166,35.301465447992086,5.898578152060509
5,1250,Mohamed Salah,FWR,31,2016,Roma,15,80,13.411626555025578,11,9.63362380117178,71,2,0,15,13.411626555025578,29.46748649328947,9.299841643311083
6,1250,Mohamed Salah,FWL,34,2015,Roma,14,72,9.377116854302585,6,7.0688703786581755,63,1,1,14,9.377116854302585,23.043303050100803,10.797392231412232
7,1250,Mohamed Salah,Sub,16,2014,Fiorentina,6,29,3.814865604043007,3,1.9356205612421036,30,0,0,6,3.814865604043007,7.404609017074108,2.628024946898222
8,1250,Mohamed Salah,Sub,3,2014,Chelsea,0,2,0.502302423119545,0,0.02637448161840439,1,0,0,0,0.502302423119545,0.5454844385385513,0.01680753380060196
9,6854,Diogo Jota,FW,21,2021,Liverpool,10,59,12.519980128854513,1,3.8385497368872166,25,1,0,10,12.519980128854513,19.360652767121792,5.775763585232198
10,6854,Diogo Jota,Sub,19,2020,Liverpool,9,46,7.05772053822875,0,1.7625210750848055,12,2,0,9,7.05772053822875,10.972974702715874,4.0760964918881655
11,6854,Diogo Jota,FW,34,2019,Wolverhampton Wanderers,7,69,12.017675075680017,1,2.6425623558461666,29,4,0,7,12.017675075680017,16.149932712316513,4.098007360473275
12,6854,Diogo Jota,FWL,33,2018,Wolverhampton Wanderers,9,58,8.907186842523515,5,5.536081537604332,27,11,0,9,8.907186842523515,16.1504292441532,4.578139785677195
13,755,Jamie Vardy,FW,16,2021,Leicester,9,36,6.063936270773411,1,1.183594960719347,14,2,0,9,6.063936270773411,7.677956260740757,1.25945988856256
14,755,Jamie Vardy,FW,34,2020,Leicester,15,82,19.94294610992074,9,5.087881522253156,28,1,0,7,13.0924265794456,18.227907367050648,2.41258773393929
15,755,Jamie Vardy,FW,35,2019,Leicester,23,89,18.903537318110466,5,6.3682975601404905,32,3,0,19,15.097693115472794,21.02660731226206,1.7243406660854816
16,755,Jamie Vardy,Sub,34,2018,Leicester,18,79,19.11597566306591,4,5.13733013253659,32,3,1,14,15.310131333768368,20.782562378793955,1.9056932125240564
17,755,Jamie Vardy,FW,37,2017,Leicester,20,70,15.266967067494988,1,3.6308264825493097,33,3,0,15,10.699990747496486,15.584633570164442,1.9777417127043009
18,755,Jamie Vardy,FW,35,2016,Leicester,13,53,9.947158509865403,5,4.6759524792432785,31,2,1,13,9.947158509865403,14.123056959360838,2.7869283128529787
19,755,Jamie Vardy,FW,36,2015,Leicester,24,115,22.135407269001007,6,6.267152491956949,48,5,1,19,17.56843115389347,24.595971267670393,2.8863560035824776
20,755,Jamie Vardy,Sub,34,2014,Leicester,5,48,7.851606417447329,8,5.1826484482735395,35,5,0,5,7.851606417447329,14.468460751697421,2.142568826675415
